#name,Lat,Lon,Description,URL,Image,category
FKAB Marine Design,58.351105,11.927191,"FKAB is an independent Marine Engineering Company, mainly active in the Marine and Shipbuilding Industry. We work internationally with offices in both Sweden and China.",http://www.fkab.com/,http://www.fkab.com/fileadmin/templates/mattsson_version2/images/logo-fkab.png,Shipbuilding & Repair
Svenska Kraftnät,57.701189,11.946314,"Svenska Kraftnät (Swedish national grid) is a state-owned public utility that has many different areas of work. One of Svenska Kraftnät’s important tasks is to transmit electricity from the major power stations to regional electrical grids, via the national electrical grid.
In our control room, we monitor the national electrical and gas grids and ensure that there is always a balance between consumption and production in Sweden. Our work contributes to ensuring an electricity market where the players can purchase electricity in free competition.

We are the government authority responsible for electricity
preparedness and we work to reinforce the country’s electricity supply system to ensure it is able to withstand critical situations. We are also responsible for the natural gas system in Sweden, and we coordinate the country’s dam safety.",www.svk.se,http://www.svk.se/Web/Core/UI/Skins/standard/img/headline.png,end-user technologies
Öresundskraft AB,56.031401,12.703861,"Öresundskraft sells customer-focused energy solutions and supply safe distribution. Bringing to the Öresund region confidence through employee customer, environment and community involvement.",http://www.oresundskraft.se,http://www.oresundskraft.se/styles/img/graphics/oresundskraft-logo.png,end-user technologies
Stockholms Gas,57.701189,11.946314,"To offer our customers a safe gas, while contributing to a greener Stockholm is our primary mission.

We have two separate gas networks. A gas is 60 mil long and contains the city gas. As early as 1853 city gas was introduced in Stockholm for the first time. Town gas is a part of Stockholm's history and some of Stockholm's future.

The second gas grid is 4 mil and just recently built and includes vehicle. Vehicle reduce traffic emissions.",http://www.stockholmgas.se/,http://www.stockholmgas.se/PageFiles/5/Logo.png,end-user technologies
Göteborg Energi AB,57.7105,11.997423,"Offer sustainable energy solutions for electricity, heating and gas.",http://www.goteborgenergi.se/,http://www.goteborgenergi.se/Templates2011/Images/Göteborg-Energi-Logotype.png,end-user technologies
Samson AB,57.561543,11.96052,"is the worlds largest family owned control valve manufacturer. A synonym for high-quality work, entrepreneurial spirit and innovative strength since 1907. The company is not only known for a complete product line in
instrumentation and controls, but also offers the most modern integrated
automation systems. The field of expertise extends through Oil & Gas, Refinery,
Petro-chemical, Chemical plants , Power Generation, Pulp & Paper,
Pharmaceutical, Food & Beverage and Heating Ventilation and Air-conditioning
(HVAC) applications. SAMSON deliver valves and equipment to cryo and LNG
applications for both land and offshore installations.",http://www.samsongroup.eu,http://www.samsongroup.eu/company/pg-re01.jpg,End-user technologies
Lunds EnergiKonecernen AB,55.715097,13.219471,"Lunds Energi Group AB (publ) is the parent company of a number of smaller companies and aims to provide service and support to operational activities. The Group's activities cover the generation, distribution and sale of electricity, gas, heating and cooling, and energy-related services within the service, services and contracts.

The focus of activities in southwest Skåne, Lund and Lomma and Eslöv and Hörby in Ringsjö area. The Group is also firmly established in northwest Skåne, Blekinge, Smaland, Södermanland, Sjuhäradsbygden and Västgötaslätten plains.

The local support is a key element of the Group's strategy. Each local company has a local sales department, locally stationed service and community-based boards with at least two representatives from the municipality or the local business community.",http://www.lundsenergikoncernen.se/,http://www.lundsenergikoncernen.se/Global/Lunds_Energikoncernen/Bilder/lek_logotyp.gif,End-user technologies
KONECRANES LIFTTRUCKS AB,56.346233,13.661625,"Lonecranes is a world-leading group of Lifting Businesses™, serving a broad range of customers, including manufacturing and process industries, shipyards, ports and terminals. Regardless of your lifting needs, Konecranes is committed to providing you with lifting equipment and services that increase the value and effectiveness of your business.",http://www.konecraneslifttrucks.se//,http://www.konecranes.com/sites/all/themes/konecranes/logo.png,Shipping
Cargotec,56.827391,13.434722,"Serving a broad range of customers, including manufacturing and process industries, shipyards, ports and terminals. Regardless of your lifting needs, Konecranes is committed to providing you with lifting equipment and services that increase the value and effectiveness of your business.",http://www.cargotec.com/en-global/Pages/default.aspx,http://www.cargotec.com/_CONTROLTEMPLATES/Cargotec.CMS.SP/images/Cargotec_logo.gif,Shipping
Mann-Teknik AB,58.713521,13.828542,"A coupling manufacturer Mann Tek is a coupling manufacturer. Mann Tek produces and markets 
products for safe and environmentally friendly handling of aggressive 
fluids for the chemical and petrochemical industries.",http://www.mann-tek.com/,http://www.mann-tek.com/sites/all/themes/manntek/layout/Mann-Tek-logo.png,End-user technologies
Swedish Gas Association,59.182823,17.633607,"The Swedish Gas Association is a member-funded, industry association dedicated to promoting a greater use of these gases for energy. The association works towards a safe, environmentally responsible and efficient utilization of gas and acts as a voice for all gases where safety, technical matters, marketing and advocacy are key elements. The association also promotes R&D within the sector through its shares in the Swedish Gas Centre, SGC, where some bigger gas companies are the other share holders. The assignment of SGC is to co-ordinate Swedish industrial interest in R&D concerning gas fuel technology.",http://www.energigas.se/In-English,,Research
Stockholm liquefied Methane gas station,59.32893,18.06491,,,,End-user technologies
Enagas S.A,40.40357,-3.710346,"Enagas, carrier and System Technical Manager, guarantees the continuity and security of natural gas supply.",http://www.enagas.es,http://www.enagas.es/cs/Satellite?blobcol=urldata&blobkey=id&blobtable=MungoBlobs&blobwhere=1146244006332&ssbinary=true,End-user technologies
Gothenburg Port,57.70887,11.97456,"The Port of Gothenburg is the largest port in the Nordic region with 11,000 visits by vessels each year. One-third of Swedish foreign trade passes through the Port of Gothenburg as well as 60 per cent of all container traffic. 
The Port of Gothenburg is the only port in Sweden with the capacity to receive the world's largest container vessels and has the broadest range of shipping routes within and outside Europe. The 25 rail shuttles that depart each day mean that companies throughout Sweden and Norway have a direct, environmentally smart link to the largest port in the Nordic region. The Port of Gothenburg has terminals for oil, cars, ro-ro, containers and passengers.",http://www.portofgothenburg.com/,http://www.portofgothenburg.com/Global/LogoTypes/logga-rgb.jpg,Ports
Nynäshamn port,58.905547,17.955489,,www.stoports.com,,Ports
Port of Copenhagen & Malmö,55.620627,13.00378,,www.cmport.com,,Ports
Chalmers University,57.566028,11.247246,Chalmers and the Swedish Maritime Administration are creating a state of the art simulator centre for future research and education.,http://www.chalmers.se/en/departments/smt/news/Pages/Chalmers-and-the-Swedish-Maritime-Administration-creates-new-simulator-centre.aspx,http://www.chalmers.se/_layouts/ChalmersPublicWeb/images/topmenu-logo.png,Education
Swedish Maritime Administration,58.583034,16.190782,"he Swedish Maritime Administration (SMA) offers modern and safe shipping routes with 24 hour service. We take responsibility for the future of shipping. SMA is a governmental agency and enterprise within the transport sector 
and is responsible for maritime safety and availability.",http://www.sjofartsverket.se/en,http://www.sjofartsverket.se/Templates/Main/Styles/images/structure/logo_en.png,Research
Alfa Laval,55.72379,13.156087,"Creating the best heat transfer, separation and fluid handling technologies in the world for more than 125 years, Alfa Laval's products and solutions are used in such areas as food and water supply, energy, environmental protection and pharmaceuticals.",www.alfalaval.com,http://www.alfalaval.com/_layouts/images/horizon/logo_top.gif,End-user technologies
Royal Vopak,51.905381,4.474401,"Vopak Sweden is the leading operator of independent tankstorage facilities in the Nordic countries. We are part of the Royal Vopak network which consists of more than 70 tank terminals in around 30 countries. Our connection to this international network allows us to provide you with the highest standards in safety and service on the Scandinavian market as to liquid bulk logistics. Through fully owned and independently operated terminals in Gothenburg, Malmo, Sodertalje and Gavle, we offer a full range of tankstorage services for petroleum products, chemicals and bitumen.",http://www.vopak.com/,http://sweden.vopak.com/images/logo-without-tagline.jpg,Storage
Wayne,59.34786,18.023723,"Wayne, A GE Energy Business and a global innovator of fuel dispensers and forecourt technologies, announced today that it has relocated the company's production of compressed natural gas (CNG) dispensers manufacturing operation from Talmona, Italy to Malmö, Sweden.",http://www.wayne.com/,,End-user technologies
SSPA Sweden AB,57.689202,11.97643,"Effective transport solutions, low fuel consumption, clean and vital coastal zones! At SSPA we supply attractive solutions for our customers, today and for the future. We create profit for our customers though sustainable, innovative, and world leading maritime solutions",http://www.sspa.se/,http://www.sspa.se/sites/www.sspa.se/themes/sspa/logo.png,Bunkering
ÅF AB,55.614322,12.98961,"The ÅF Group is a leader in technical consulting, with expertise founded on more than a century of experience. We offer highly qualified services and solutions for industrial processes, infrastructure projects and the development of products and IT systems. Today the ÅF Group has approx. 5,000 employees. Our base is in Europe, 
but our business and our clients are found all over the world.",http://www.afconsult.com/,http://www.afconsult.com/Templates/Main/images/AF-logo.gif,Bunkering
Swedish Marine Technology Forum,58.349201,11.926198,"Swedish Marine Technology Forum is a non-profit organization that gathers the maritime industry in Sweden.The organization is working toward development of new and less environmentally damaging products, efficient production and cooperation between firms, universities and public representatives. Swedish Marine Technology Forum is also working to increase recruitment and enhance regeneration in the maritime industry. The forum brings together the entire maritime industry in Sweden and its future challenges. The forum is addressed to the companies that is suppliers for the shipping, offshore and the leisure boat industry. Our members are engineering solutions, manufacturing, products and services in these areas.",http://www.smtf.se/en/start.html,,Shipping
"World Maritime University, Malmö",55.605226,12.98073,"Founded by the International Maritime Organization (IMO), a specialized agency of the United Nations, WMU is a center of excellence for maritime post-graduate education and research. WMU offers M.Sc. and Ph.D. programs as well as Professional Development Courses with the highest standards in maritime affairs. Headquartered in Malmö, Sweden with additional M.Sc. programs in Shanghai and Dalian, China,  WMU promotes the international exchange and transfer of maritime ideas and knowledge.",http://wmu.se/,http://wmu.se/sites/default/files/wmu-logo-w_0.png,Education
